,timestamp,node,avg:boottime,var:boottime,avg:bytes_in,var:bytes_in,avg:bytes_out,var:bytes_out,avg:cpu_aidle,var:cpu_aidle,avg:cpu_idle,var:cpu_idle,avg:cpu_nice,var:cpu_nice,avg:cpu_speed,var:cpu_speed,avg:cpu_steal,var:cpu_steal,avg:cpu_system,var:cpu_system,avg:cpu_user,var:cpu_user,avg:cpu_wio,var:cpu_wio,avg:disk_free,var:disk_free,avg:disk_total,var:disk_total,avg:load_fifteen,var:load_fifteen,avg:load_five,var:load_five,avg:load_one,var:load_one,avg:mem_buffers,var:mem_buffers,avg:mem_cached,var:mem_cached,avg:mem_free,var:mem_free,avg:mem_shared,var:mem_shared,avg:mem_total,var:mem_total,avg:part_max_used,var:part_max_used,avg:pkts_in,var:pkts_in,avg:pkts_out,var:pkts_out,avg:proc_run,var:proc_run,avg:proc_total,var:proc_total,avg:swap_free,var:swap_free,avg:swap_total,var:swap_total,gexec_0,machine_type_0,os_name_0,os_release_0,is_normal_state,is_non_rising_anomaly,is_rising_anomaly,rul
0,2019-10-18 10:05:00+02:00,r000000s,0.0,0.0,0.0012413842215542852,2.0683633217221445e-06,0.0017760021074966711,1.952628403094178e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1424982729385166,0.002954741614128225,0.9685596845902188,0.00031528170828695485,0.0,0.0,0.9978242475523302,0.0036893336551788334,0.9999999999999996,4.4076859728795616e-29,0.9788465170584296,0.0,0.9697577304772692,3.4427736261031733e-07,0.9502810730921998,7.027664673445869e-07,0.0,0.0,0.002533031429776356,0.0,0.9563449059987223,3.773780358355528e-11,0.0,0.0,1.0,0.0,0.9977431912887184,0.0,0.014827747518962809,1.1401490618312486e-06,0.013392346645039023,1.930230480865576e-06,0.028477417838536568,0.00043402777777777797,9.495947980110456e-06,0.0004361038075485683,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7
1,2019-10-18 10:10:00+02:00,r000000s,0.0,0.0,0.0021767581606117995,4.235198328905925e-06,0.002273557477281039,5.535008254369813e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14871569427871634,0.0023226122896485065,0.9668987501048568,0.000247831203536458,0.0,0.0,0.9812643539224836,0.000599310792585749,0.9999999999999998,0.0,0.9788465170584296,0.0,0.9696765794857056,1.7769154199238515e-07,0.95015901083385,2.871639515406668e-07,0.0,0.0,0.002533000320301596,2.774520328894296e-13,0.9563247492961788,7.494999802054106e-08,0.0,0.0,1.0,0.0,0.9977431912887184,0.0,0.014479678328376825,3.893547167330266e-05,0.014599977922887416,4.027200888489449e-05,0.028555760115946568,0.00134858630952381,9.793014276467044e-06,0.0043933420612300225,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6
2,2019-10-18 10:15:00+02:00,r000000s,0.0,0.0,0.00045356509236249494,2.1162231288308947e-08,0.00033028494063726575,3.3097101542862837e-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14576398919801545,0.002245771615612601,0.9676872745575036,0.00023963202332384214,0.0,0.0,0.986824610177905,0.00042381816466422763,0.9999999999999998,0.0,0.9788465170584296,0.0,0.969801687264366,4.4323727271542043e-07,0.9503404547313968,6.873826842263955e-07,0.0,0.0,0.0025329847655642165,0.0,0.9563571066755526,5.114142290564403e-10,0.0,0.0,1.0,0.0,0.9977431912887184,0.0,0.0025248939085107088,1.551869556381422e-08,0.003429884346335696,1.4323274619897717e-08,0.02820321986760155,0.0,9.67601898851838e-06,7.145619819630258e-05,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5
3,2019-10-18 10:20:00+02:00,r000000s,0.0,0.0,0.00024072795328165464,2.8609930298331923e-08,0.00034424859877964014,1.7771995885898455e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1520442127739748,0.0037310969806419883,0.9660095629561278,0.0003981216578181851,0.0,0.0,0.993351867521028,0.0023611735393245193,0.9999999999999996,4.4076859728795616e-29,0.9788465170584296,0.0,0.9698355001775176,4.829005633386942e-07,0.9505251976088992,1.9142393879071025e-06,0.0,0.0,0.002533006931064983,1.48263430075289e-14,0.9562782119360168,8.557647642187605e-08,0.0,0.0,1.0,0.0,0.9977431912887184,0.0,0.004180171751261404,1.8314980937930593e-05,0.003638977957479304,1.923903808983913e-08,0.02835990442242156,0.00034102182539682554,9.480687725160642e-06,0.00038903930129098065,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4
4,2019-10-18 10:25:00+02:00,r000000s,0.0,0.0,0.0005111447829106295,3.710119642531582e-08,0.00028105143268548964,1.217378100698537e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12673491176285878,0.0021766897497933835,0.972770740709672,0.00023226073624987482,0.0,0.0,0.9899673637133901,1.2607276116003192e-25,0.9999999999999998,4.4076859728795616e-29,0.9788465170584296,0.0,0.9696495291551844,3.604471988559085e-31,0.9501062271545636,0.0,0.0,0.0,0.00253303609619757,1.3317697578692625e-13,0.9563296479656695,1.7909395875626636e-10,0.0,0.0,1.0,0.0,0.9977431912887184,0.0,0.011861641104465305,1.979380201883517e-05,0.003226519327278212,6.635504973842463e-08,0.02820321986760155,0.0,9.613960618389079e-06,0.00016588533220065658,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3
5,2019-10-18 10:30:00+02:00,r000000s,0.0,0.0,0.00013511606045149224,8.059226228490356e-11,0.000241990185215402,1.2858038315671463e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13967217232933493,0.001970120378739936,0.969314654810838,0.00021021903085198664,0.0,0.0,0.978363350658924,0.00039954052839049936,0.9999999999999998,0.0,0.9788465170584296,0.0,0.9699876582866996,9.201883424603071e-07,0.950970559902878,5.7974427672090575e-06,0.0,0.0,0.0025330547618824264,0.0,0.956336001287016,1.2928121534609064e-09,0.0,0.0,1.0,0.0,0.9977431912887184,0.0,0.0023479355320167967,5.625949764310907e-10,0.002736504373449562,8.834252184109793e-08,0.0290649849191116,0.0015966021825396836,9.475600973510687e-06,0.0009228462954531263,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2
6,2019-10-18 10:35:00+02:00,r000000s,0.0,0.0,0.00011673550797839634,1.0793306869337163e-11,0.0002781441818096165,3.175933371358035e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12346919550335995,0.0021801064726777947,0.9736431507423872,0.00023262531304487643,0.0,0.0,0.9841653571861568,0.000599310792585749,0.9999999999999998,0.0,0.9788465170584296,0.0,0.9697374427293785,1.7531174455511178e-07,0.9501326189942072,3.3331530089529833e-08,0.0,0.0,0.00253307498304102,3.6068764275625854e-14,0.9563285785378228,3.851312528889206e-11,0.0,0.0,1.0,0.0,0.9977431912887184,0.0,0.002224858266225593,4.850946480451711e-08,0.003326990019250273,7.423225793592251e-08,0.02843824669983156,0.0004185267857142858,9.58954421046938e-06,0.0006347296658414599,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
7,2019-10-18 10:40:00+02:00,r000000s,0.0,0.0,0.00012339315906232526,1.907988278192644e-09,0.00022384169032826744,1.0176237677727114e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14658041826289014,0.0014602219427258542,0.9674691720493246,0.00015581100776439354,0.0,0.0,0.9810226036505584,0.0005902933848269357,0.9999999999999998,0.0,0.9788465170584296,0.0,0.9696765794857056,1.7769154199238515e-07,0.9501458149140284,1.6152972274164414e-07,0.0,0.0,0.002533015875038977,1.1098081315577187e-12,0.9563442562925576,1.8376489045891608e-09,0.0,0.0,1.0,0.0,0.9977431912887184,0.0,0.0019759191811184987,4.5468007472749865e-07,0.0028554828244691088,1.9877067414247016e-07,0.02835990442242156,0.00034102182539682554,9.586492159479416e-06,0.0006747549589892169,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0
13,2019-10-18 11:10:00+02:00,r169c03s01,0.0,0.0,0.00013266724586617274,2.0350388700167051e-10,0.0002974906602575555,1.0754867315966326e-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1661119135841236,0.004393751402280014,0.9622514889690464,0.00046882930178236796,0.0,0.0,0.9812643539224836,0.000599310792585749,0.9999999999999998,0.0,0.9788465170584296,0.0,0.9697239175641176,2.1338850355345173e-07,0.9502777741122446,7.44831499308674e-07,0.0,0.0,0.002533286527469385,1.9421642302260085e-14,0.9564369184782152,1.7076017033536765e-09,0.0,0.0,1.0,0.0,0.9977431912887184,0.0,0.002155244428108397,2.3250098515774493e-08,0.003279398638842453,1.1877161269747581e-08,0.02835990442242156,0.0003410218253968255,9.56105840122972e-06,0.0008626037274434143,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
14,2019-10-18 11:15:00+02:00,r169c03s01,0.0,0.0,0.00016545019679753585,3.449941142979303e-10,0.0002846254308311512,2.382859952301145e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1271117251774163,0.0019928985313026853,0.9726700780135896,0.0002126495428186732,0.0,0.0,0.9873081107216422,0.0003738755986154152,0.9999999999999998,0.0,0.9788465170584296,0.0,0.9696495291551842,0.0,0.9501062271545636,0.0,0.0,0.0,0.002533283027653475,2.922783758969587e-13,0.9564357038726636,2.907583815606657e-10,0.0,0.0,1.0,0.0,0.9977431912887184,0.0,0.0025590046891881355,6.553304121065404e-08,0.0030967446834809656,4.431725967960118e-08,0.028545967331270326,0.0004238552517361111,9.783858123497127e-06,0.00026877243544550465,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
